sentence_id,text
S3V0175P0_20002,What was the conclusion with reference to the national pictures?
S3V0025P0_1702,"What knowledge could the Central Board possess respecting the circumstances of each parish or district in the kingdom, and the distinct mode of Government necessary to be adopted in each?"
S3V0095P0_13207,What good purpose could be insured by retaining on the Statute-book laws which did not accomplish the object which was in the contemplation of those who enacted them?
S4V0126P0_6771,What did that mean at the present moment?
S4V0079P0_9783,What was the meaning of carrying these telegrams to the Colonial Office?
S3V0332P0_15207,What was the contention of the Chancellor of the Exchequer on that point?
S3V0244P0_5460,"What was the result of having a large number of voters in possession of the franchise, many of whom were totally ignorant of the most ordinary political knowledge?"
S3V0197P0_3489,What did Mr. Gladstone say last year on the subject of endowment about the same time when the noble Duke used the words that have been quoted?
S3V0040P0_15044,What did the husband suffer from this state of things?
S3V0231P0_14621,What was the position occupied with reference to the question at that moment?
S3V0084P0_2313,What were the appointments which had been made of late years in Ireland?
S3V0026P0_609,What avail all their professions and pledges?
S3V0080P0_3647,What was the moral conduct of the Irish nation after the experiment of Maynooth had been tried for half a century?
S3V0012P0_7426,What had they done that deserved to be visited with blame?
S3V0343P0_954,What is the reason that your Lordships sit in this House and that we have two Houses of Parliament if it is not for the purpose of changing these laws of ours if we find that change is necessary?
S4V0113P0_10462,What had they done against the State that the State should turn and rend them in this way?
S2V0015P0_4379,What an advantage to ministers would it have been to have had the master of the Rolls to have struggled for them upon the Chancery debates?
S5LV0005P0_3573,What are we really seeking to do in these Resolutions and in the re-modelling of the House which my noble friends have advocated?
S3V0157P0_8523,What was the cause of this precipitation?
S4V0119P0_7050,What is the policy behind this Army Scheme?
S3V0058P0_13100,What security was there in the constitution of the country against their bringing forward propositions which the House would not support by a large majority?
S3V0114P0_9236,What had the labouring population obtained?
S3V0182P0_7228,What was to be the limit of the concessions they were prepared to make to Roman Catholic sentiment?
S4V0166P0_3328,What Act of Parliament could empower a tenant who had contracted to give his landlord a fair rent for his farm to claim from that landlord half or perhaps the whole of that rent back again because he had had a bad season?
S5CV0019P0_21917,What have the Tariff party to say to this?
S3V0253P0_13694,What were the arguments against the proposal?
S3V0061P0_18344,What had any authors done that could be compared with that discovery?
S3V0300P0_16492,"Which was the most natural division of duties, by subjects or by localities?"
S2V0024P0_9265,"What would be thought of a jury, ten of whom, like the Ministerial Members opposite, should loudly cheer the defendant in the progress of his address, while the other two should, from time to time, encourage the prosecutor by a solitary cheer?"
S3V0191P0_18242,What is the provision made in this Bill for the support of this clergyman?
S3V0197P0_3028,What have you done in the case of the municipal corporations?
